                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7318,                 2.5015,                 1.9257,                0.47492,                0.09851,                 0.1134,                0.05109,                 2.1815,                 3.0333,                 1.6419,               0.070068,              0.0033257,              0.0033257
                      2,                 2.0683,                 1.8334,                 1.5035,                0.39122,                0.18833,                0.17089,                0.08724,                 1.7924,                  1.632,                 1.3858,               0.039937,              0.0065272,              0.0065272
                      3,                 1.8952,                 1.6564,                 1.4171,                0.34341,                0.21337,                0.17428,                0.09421,                 1.6949,                 1.4618,                 1.3413,              0.0096728,              0.0095967,              0.0095967
                      4,                 1.7767,                 1.5296,                 1.3653,                0.64961,                0.19778,                 0.2124,                0.11617,                 1.7085,                 1.4368,                 1.3335,               0.009406,               0.009406,               0.009406
                      5,                 1.7058,                 1.4729,                 1.3364,                0.24289,                0.27926,                 0.2355,                0.13158,                 1.5861,                 1.3822,                 1.3041,               0.009208,               0.009208,               0.009208
                      6,                 1.6427,                 1.3964,                  1.304,                0.38993,                0.28188,                0.27907,                0.15422,                 1.4774,                 1.2406,                 1.2463,                0.00901,                0.00901,                0.00901
                      7,                 1.6038,                 1.3466,                 1.2915,                0.48853,                  0.295,                0.27072,                0.15771,                 1.4879,                 1.2326,                 1.2612,               0.008812,               0.008812,               0.008812
                      8,                 1.5771,                 1.3131,                 1.2788,                0.39128,                0.31559,                0.30815,                0.17504,                 1.4068,                 1.1672,                 1.2205,               0.008614,               0.008614,               0.008614
                      9,                 1.5446,                 1.2812,                 1.2678,                0.48373,                0.31711,                0.33347,                0.19383,                 1.3914,                 1.1079,                 1.1995,               0.008416,               0.008416,               0.008416
                     10,                 1.5109,                 1.2471,                 1.2489,                0.30697,                0.38051,                0.31725,                0.18388,                 1.3551,                 1.1498,                  1.181,               0.008218,               0.008218,               0.008218
                     11,                 1.4946,                  1.217,                  1.241,                0.46654,                0.35906,                0.34698,                0.20573,                 1.3943,                 1.0922,                 1.1878,                0.00802,                0.00802,                0.00802
                     12,                   1.46,                 1.1862,                 1.2268,                0.47294,                0.33049,                0.32493,                 0.2018,                 1.3438,                 1.0869,                 1.2027,               0.007822,               0.007822,               0.007822
                     13,                 1.4513,                 1.1714,                 1.2198,                0.00018,                 0.0203,                 0.0001,                  4e-05,                 1.2986,                    inf,                  1.398,               0.007624,               0.007624,               0.007624
                     14,                 1.4386,                 1.1559,                 1.2166,                0.31012,                0.38832,                0.38202,                0.23201,                  1.281,                 0.9983,                 1.1434,               0.007426,               0.007426,               0.007426
                     15,                 1.4074,                 1.1154,                 1.1946,                0.18211,                0.38804,                 0.1492,                0.08015,                   1.29,                    inf,                 1.1951,               0.007228,               0.007228,               0.007228
                     16,                  1.407,                 1.1137,                 1.2001,                0.39882,                0.43598,                0.42482,                0.25535,                 1.2814,                0.97566,                 1.1447,                0.00703,                0.00703,                0.00703
                     17,                 1.3859,                 1.1028,                 1.1916,                0.49944,                0.39944,                0.43388,                0.25899,                 1.2548,                0.97346,                 1.1363,               0.006832,               0.006832,               0.006832
                     18,                 1.3737,                 1.0865,                 1.1832,                0.52246,                0.37639,                0.41361,                0.25343,                 1.2461,                0.98725,                 1.1319,               0.006634,               0.006634,               0.006634
                     19,                 1.3525,                 1.0534,                 1.1751,                 0.7052,                0.34272,                0.42403,                0.25887,                 1.2394,                0.93574,                 1.1363,               0.006436,               0.006436,               0.006436
                     20,                 1.3353,                 1.0386,                 1.1673,                0.45057,                0.45042,                0.45717,                0.27916,                 1.2218,                0.90691,                 1.1285,               0.006238,               0.006238,               0.006238
                     21,                 1.3507,                 1.0501,                 1.1718,                0.56282,                0.36466,                0.43946,                0.27397,                 1.2155,                0.97016,                 1.1174,                0.00604,                0.00604,                0.00604
                     22,                 1.3382,                 1.0301,                 1.1685,                0.55942,                0.40237,                0.47102,                0.28481,                   1.21,                0.95967,                  1.118,               0.005842,               0.005842,               0.005842
                     23,                 1.3228,                 1.0169,                 1.1626,                0.45985,                0.49802,                0.51316,                0.31731,                 1.1799,                 0.8803,                 1.0973,               0.005644,               0.005644,               0.005644
                     24,                 1.3181,                 1.0138,                 1.1616,                0.55791,                0.48062,                 0.5273,                0.32804,                 1.1963,                0.86817,                 1.1073,               0.005446,               0.005446,               0.005446
                     25,                 1.2994,                0.99308,                 1.1518,                0.56754,                0.45302,                0.50701,                0.30224,                  1.226,                 0.8807,                 1.1143,               0.005248,               0.005248,               0.005248
                     26,                 1.2921,                0.98368,                 1.1462,                0.56965,                0.49522,                0.53298,                0.33018,                 1.1776,                0.83606,                 1.0926,                0.00505,                0.00505,                0.00505
                     27,                 1.2793,                0.96876,                 1.1473,                0.56372,                0.50146,                0.54086,                0.33361,                 1.1644,                 0.8358,                 1.0957,               0.004852,               0.004852,               0.004852
                     28,                 1.2759,                 0.9668,                  1.142,                0.62395,                0.46404,                0.53533,                0.34289,                  1.148,                0.81464,                 1.0846,               0.004654,               0.004654,               0.004654
                     29,                 1.2666,                0.95576,                 1.1417,                 0.5018,                0.52894,                0.51689,                0.32148,                 1.1394,                0.83288,                 1.0791,               0.004456,               0.004456,               0.004456
                     30,                 1.2461,                0.93285,                 1.1306,                0.54588,                0.56564,                0.56577,                0.35843,                 1.1353,                0.79805,                 1.0803,               0.004258,               0.004258,               0.004258
                     31,                 1.2463,                0.93092,                  1.126,                0.58446,                0.55717,                0.59124,                0.37228,                 1.1284,                0.79831,                 1.0822,                0.00406,                0.00406,                0.00406
                     32,                 1.2345,                0.91815,                 1.1238,                0.62578,                0.54588,                0.58803,                0.38447,                 1.0974,                0.78517,                 1.0684,               0.003862,               0.003862,               0.003862
                     33,                 1.2286,                0.90894,                 1.1205,                0.67292,                0.54813,                0.59568,                0.38606,                 1.0878,                0.76578,                  1.064,               0.003664,               0.003664,               0.003664
